fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-04-01,NK,NK,NK,428,NK,N625NK,428,15304,TPA,"Tampa, FL",13487,MSP,"Minneapolis, MN",2110,2154,44,9,2203,2355,5,2335,2400,25,0,,0,N,205,186,172,1,1306,10,0,15,0,0,,,,
2019-04-01,WN,WN,WN,1281,WN,,1281,13204,MCO,"Orlando, FL",15016,STL,"St. Louis, MO",805,,,,,,,940,,,1,A,0,N,155,,,1,882,,,,,,,,,
2019-04-01,WN,WN,WN,851,WN,N958WN,851,13232,MDW,"Chicago, IL",11259,DAL,"Dallas, TX",1040,,,,,,,1255,,,1,A,0,N,135,,,1,793,,,,,,,,,
2019-04-01,WN,WN,WN,1600,WN,N915WN,1600,13342,MKE,"Milwaukee, WI",11292,DEN,"Denver, CO",1450,,,,,,,1625,,,1,A,0,N,155,,,1,896,,,,,,,,,
2019-04-01,B6,B6,B6,3,B6,N613JB,3,12478,JFK,"New York, NY",14843,SJU,"San Juan, PR",1541,1559,18,28,1627,1942,3,1951,1945,-6,0,,0,N,250,226,195,1,1598,,,,,,,,,
2019-04-01,B6,B6,B6,4,B6,N613JB,4,14843,SJU,"San Juan, PR",12478,JFK,"New York, NY",2036,2041,5,17,2058,25,5,36,30,-6,0,,0,N,240,229,207,1,1598,,,,,,,,,
2019-04-01,B6,B6,B6,6,B6,N624JB,6,11697,FLL,"Fort Lauderdale, FL",11618,EWR,"Newark, NJ",1358,1552,114,17,1609,1820,10,1704,1830,86,0,,0,N,186,158,131,1,1065,0,0,32,0,54,,,,
2019-04-01,B6,B6,B6,7,B6,N507JT,7,11697,FLL,"Fort Lauderdale, FL",12889,LAS,"Las Vegas, NV",1842,1838,-4,16,1854,2100,6,2117,2106,-11,0,,0,N,335,328,306,1,2173,,,,,,,,,
2019-04-01,B6,B6,B6,8,B6,N507JT,8,12889,LAS,"Las Vegas, NV",11697,FLL,"Fort Lauderdale, FL",2208,2207,-1,10,2217,515,19,544,534,-10,0,,0,N,276,267,238,1,2173,,,,,,,,,
2019-04-01,B6,B6,B6,11,B6,N279JB,11,10721,BOS,"Boston, MA",13930,ORD,"Chicago, IL",2103,2141,38,21,2202,2316,8,2301,2324,23,0,,0,N,178,163,134,1,867,23,0,0,0,0,,,,
2019-04-01,B6,B6,B6,14,B6,N644JB,14,12954,LGB,"Long Beach, CA",12478,JFK,"New York, NY",2040,2105,25,14,2119,507,6,455,513,18,0,,0,N,315,308,288,1,2465,0,0,0,0,18,,,,
2019-04-01,B6,B6,B6,15,B6,N976JT,15,12478,JFK,"New York, NY",14771,SFO,"San Francisco, CA",644,904,140,20,924,1252,8,1025,1300,155,0,,0,N,401,416,388,1,2586,140,0,15,0,0,,,,
2019-04-01,B6,B6,B6,16,B6,N982JB,16,14771,SFO,"San Francisco, CA",12478,JFK,"New York, NY",630,622,-8,23,645,1440,5,1514,1445,-29,0,,0,N,344,323,295,1,2586,,,,,,,,,
2019-04-01,B6,B6,B6,19,B6,N980JT,19,10721,BOS,"Boston, MA",14679,SAN,"San Diego, CA",1555,1605,10,21,1626,1922,3,1924,1925,1,0,,0,N,389,380,356,1,2588,,,,,,,,,
2019-04-01,B6,B6,B6,20,B6,N962JT,20,14679,SAN,"San Diego, CA",10721,BOS,"Boston, MA",2033,2026,-7,20,2046,449,7,500,456,-4,0,,0,N,327,330,303,1,2588,,,,,,,,,
2019-04-01,B6,B6,B6,22,B6,N760JB,22,14027,PBI,"West Palm Beach/Palm Beach, FL",10721,BOS,"Boston, MA",1958,2118,80,9,2127,2348,5,2300,2353,53,0,,0,N,182,155,141,1,1197,0,0,0,0,53,,,,
2019-04-01,B6,B6,B6,23,B6,N977JE,23,12478,JFK,"New York, NY",12892,LAX,"Los Angeles, CA",549,542,-7,22,604,840,28,909,908,-1,0,,0,N,380,386,336,1,2475,,,,,,,,,
2019-04-01,B6,B6,B6,24,B6,N962JT,24,12892,LAX,"Los Angeles, CA",12478,JFK,"New York, NY",530,547,17,17,604,1353,8,1400,1401,1,0,,0,N,330,314,289,1,2475,,,,,,,,,
2019-04-01,B6,B6,B6,26,B6,N997JL,26,15304,TPA,"Tampa, FL",12478,JFK,"New York, NY",1145,1152,7,10,1202,1400,5,1433,1405,-28,0,,0,N,168,133,118,1,1005,,,,,,,,,
2019-04-01,B6,B6,B6,27,B6,N662JB,27,11618,EWR,"Newark, NJ",13204,MCO,"Orlando, FL",600,600,0,16,616,842,5,846,847,1,0,,0,N,166,167,146,1,937,,,,,,,,,
