fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-01-31,UA,UA_CODESHARE,UA,3795,ZW,N451AW,3795,10990,CHO,"Charlottesville, VA",12264,IAD,"Washington, DC",1430,1432,2,12,1444,1514,6,1516,1520,4,0,,0,N,46,48,30,1,77,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3794,ZW,,3794,11775,FSD,"Sioux Falls, SD",13930,ORD,"Chicago, IL",1127,,,,,,,1317,,,1,B,0,N,110,,,1,463,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3794,ZW,,3794,13930,ORD,"Chicago, IL",11577,ERI,"Erie, PA",1445,,,,,,,1713,,,1,B,0,N,88,,,1,398,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3793,ZW,,3793,13930,ORD,"Chicago, IL",12197,HPN,"White Plains, NY",1805,,,,,,,2119,,,1,B,0,N,134,,,1,738,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3792,ZW,N411ZW,3792,10868,CAE,"Columbia, SC",12264,IAD,"Washington, DC",930,925,-5,10,935,1033,7,1059,1040,-19,0,,0,N,89,75,58,1,401,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3791,ZW,,3791,10469,AZO,"Kalamazoo, MI",13930,ORD,"Chicago, IL",1355,,,,,,,1409,,,1,B,0,N,74,,,1,122,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3790,ZW,,3790,13930,ORD,"Chicago, IL",10408,ATW,"Appleton, WI",1550,,,,,,,1657,,,1,B,0,N,67,,,1,161,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3789,ZW,,3789,13930,ORD,"Chicago, IL",11577,ERI,"Erie, PA",2110,,,,,,,2338,,,1,B,0,N,88,,,1,398,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3788,ZW,,3788,12992,LIT,"Little Rock, AR",13930,ORD,"Chicago, IL",1820,,,,,,,2025,,,1,B,0,N,125,,,1,552,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3788,ZW,,3788,13930,ORD,"Chicago, IL",10469,AZO,"Kalamazoo, MI",2135,,,,,,,2333,,,1,B,0,N,58,,,1,122,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3787,ZW,N458AW,3787,11995,GSO,"Greensboro/High Point, NC",12264,IAD,"Washington, DC",1500,1450,-10,12,1502,1553,7,1611,1600,-11,0,,0,N,71,70,51,1,239,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3786,ZW,N445AW,3786,11986,GRR,"Grand Rapids, MI",12264,IAD,"Washington, DC",1440,1435,-5,28,1503,1612,7,1623,1619,-4,0,,0,N,103,104,69,1,501,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3785,ZW,,3785,11423,DSM,"Des Moines, IA",13930,ORD,"Chicago, IL",1130,,,,,,,1259,,,1,B,0,N,89,,,1,299,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3784,ZW,,3784,13930,ORD,"Chicago, IL",10257,ALB,"Albany, NY",915,,,,,,,1219,,,1,B,0,N,124,,,1,723,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3783,ZW,,3783,14633,RST,"Rochester, MN",13930,ORD,"Chicago, IL",1535,,,,,,,1654,,,1,B,0,N,79,,,1,268,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3782,ZW,N457AW,3782,11267,DAY,"Dayton, OH",12264,IAD,"Washington, DC",945,937,-8,25,1002,1055,5,1112,1100,-12,0,,0,N,87,83,53,1,368,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3781,ZW,,3781,13930,ORD,"Chicago, IL",10868,CAE,"Columbia, SC",1800,,,,,,,2107,,,1,B,0,N,127,,,1,666,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3780,ZW,N435AW,3780,12264,IAD,"Washington, DC",10868,CAE,"Columbia, SC",1240,1232,-8,21,1253,1356,3,1415,1359,-16,0,,0,N,95,87,63,1,401,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3779,ZW,N459AW,3779,11292,DEN,"Denver, CO",15016,STL,"St. Louis, MO",1305,1246,-19,10,1256,1526,7,1611,1533,-38,0,,0,N,126,107,90,1,770,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3778,ZW,N454AW,3778,11109,COS,"Colorado Springs, CO",11292,DEN,"Denver, CO",1610,1602,-8,13,1615,1639,7,1700,1646,-14,0,,0,N,50,44,24,1,73,,,,,,,,,
2019-01-31,UA,UA_CODESHARE,UA,3777,ZW,,3777,10874,CAK,"Akron, OH",13930,ORD,"Chicago, IL",1428,,,,,,,1505,,,1,B,0,N,97,,,1,343,,,,,,,,,
