fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-07-01,AA,AA_CODESHARE,AA,5330,OH,N705PS,5330,10581,BGR,"Bangor, ME",11278,DCA,"Washington, DC",551,,,,,,,759,,,1,A,0,N,128,,,1,590,,,,,,,,,
2019-07-02,WN,WN,WN,2341,WN,N256WN,2341,14893,SMF,"Sacramento, CA",13891,ONT,"Ontario, CA",900,,,,,,,1015,,,1,A,0,N,75,,,1,390,,,,,,,,,
2019-07-02,UA,UA_CODESHARE,UA,3927,ZW,,3927,13930,ORD,"Chicago, IL",10868,CAE,"Columbia, SC",2105,,,,,,,17,,,1,B,0,N,132,,,1,666,,,,,,,,,
2019-07-01,AA,AA_CODESHARE,AA,6068,CP,N215NN,6068,12892,LAX,"Los Angeles, CA",13851,OKC,"Oklahoma City, OK",1907,1912,5,15,1927,5,5,2356,10,14,0,,0,N,169,178,158,1,1187,,,,,,,,,
2019-07-01,G4,G4,G4,414,G4,242NV,414,15412,TYS,"Knoxville, TN",14761,SFB,"Sanford, FL",600,704,64,10,714,823,5,732,828,56,0,,0,N,92,84,69,1,511,56,0,0,0,0,,,,
2019-07-01,G4,G4,G4,199,G4,303NV,199,14679,SAN,"San Diego, CA",11603,EUG,"Eugene, OR",1835,1834,-1,8,1842,2035,6,2052,2041,-11,0,,0,N,137,127,113,1,850,,,,,,,,,
2019-07-01,G4,G4,G4,94,G4,336NV,94,12889,LAS,"Las Vegas, NV",11775,FSD,"Sioux Falls, SD",620,617,-3,13,630,1037,7,1059,1044,-15,0,,0,N,159,147,127,1,1104,,,,,,,,,
2019-07-01,G4,G4,G4,516,G4,218NV,516,10849,BZN,"Bozeman, MT",10466,AZA,"Phoenix, AZ",2143,2141,-2,9,2150,2245,7,2258,2252,-6,0,,0,N,135,131,115,1,861,,,,,,,,,
2019-07-01,G4,G4,G4,526,G4,259NV,526,10466,AZA,"Phoenix, AZ",11980,GRI,"Grand Island, NE",610,606,-4,9,615,1005,8,1024,1013,-11,0,,0,N,134,127,110,1,905,,,,,,,,,
2019-07-01,G4,G4,G4,408,G4,242NV,408,15412,TYS,"Knoxville, TN",14112,PIE,"St. Petersburg, FL",1039,1119,40,9,1128,1245,4,1217,1249,32,0,,0,N,98,90,77,1,550,0,0,0,0,32,,,,
2019-07-01,G4,G4,G4,1982,G4,257NV,1982,15624,VPS,"Valparaiso, FL",15919,XNA,"Fayetteville, AR",1300,1247,-13,12,1259,1419,5,1445,1424,-21,0,,0,N,105,97,80,1,601,,,,,,,,,
2019-07-01,G4,G4,G4,7,G4,305NV,7,10140,ABQ,"Albuquerque, NM",10423,AUS,"Austin, TX",918,916,-2,10,926,1147,7,1157,1154,-3,0,,0,N,99,98,81,1,619,,,,,,,,,
2019-07-01,G4,G4,G4,1559,G4,252NV,1559,12544,USA,"Concord, NC",14082,PGD,"Punta Gorda, FL",1421,1503,42,9,1512,1629,4,1601,1633,32,0,,0,N,100,90,77,1,588,0,32,0,0,0,,,,
2019-07-01,G4,G4,G4,2193,G4,310NV,2193,14783,SGF,"Springfield, MO",14761,SFB,"Sanford, FL",825,820,-5,9,829,1125,4,1138,1129,-9,0,,0,N,133,129,116,1,914,,,,,,,,,
2019-07-01,G4,G4,G4,2291,G4,248NV,2291,14761,SFB,"Sanford, FL",13230,MDT,"Harrisburg, PA",1829,1836,7,10,1846,2034,8,2043,2042,-1,0,,0,N,134,126,108,1,827,,,,,,,,,
2019-07-01,G4,G4,G4,57,G4,324NV,57,12889,LAS,"Las Vegas, NV",14252,PSC,"Pasco/Kennewick/Richland, WA",1819,1837,18,17,1854,2043,6,2029,2049,20,0,,0,N,130,132,109,1,732,18,0,2,0,0,,,,
2019-07-01,G4,G4,G4,869,G4,309NV,869,14112,PIE,"St. Petersburg, FL",10257,ALB,"Albany, NY",700,654,-6,11,705,934,4,941,938,-3,0,,0,N,161,164,149,1,1138,,,,,,,,,
