fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-06-01,WN,WN,WN,4194,WN,N940WN,4194,12191,HOU,"Houston, TX",11259,DAL,"Dallas, TX",2200,,,,,,,2305,,,1,B,0,N,65,,,1,239,,,,,,,,,
2019-06-02,WN,WN,WN,4709,WN,,4709,15304,TPA,"Tampa, FL",10821,BWI,"Baltimore, MD",1025,,,,,,,1240,,,1,A,0,N,135,,,1,842,,,,,,,,,
2019-06-01,UA,UA,UA,1800,UA,N37471,1800,12889,LAS,"Las Vegas, NV",14771,SFO,"San Francisco, CA",1527,1515,-12,21,1536,1638,7,1707,1645,-22,0,,0,N,100,90,62,1,414,,,,,,,,,
2019-06-01,UA,UA,UA,2426,UA,N35204,2426,14908,SNA,"Santa Ana, CA",11292,DEN,"Denver, CO",1300,1252,-8,24,1316,1607,20,1616,1627,11,0,,0,N,136,155,111,1,846,,,,,,,,,
2019-06-01,UA,UA,UA,2425,UA,N467UA,2425,13204,MCO,"Orlando, FL",12266,IAH,"Houston, TX",1545,1537,-8,11,1548,1650,7,1720,1657,-23,0,,0,N,155,140,122,1,854,,,,,,,,,
2019-06-01,UA,UA,UA,2421,UA,N76503,2421,12266,IAH,"Houston, TX",12889,LAS,"Las Vegas, NV",800,752,-8,14,806,849,6,920,855,-25,0,,0,N,200,183,163,1,1222,,,,,,,,,
2019-06-01,UA,UA,UA,2419,UA,N899UA,2419,14262,PSP,"Palm Springs, CA",14771,SFO,"San Francisco, CA",1330,1320,-10,9,1329,1433,4,1508,1437,-31,0,,0,N,98,77,64,1,421,,,,,,,,,
2019-06-01,UA,UA,UA,2418,UA,N16732,2418,11618,EWR,"Newark, NJ",14869,SLC,"Salt Lake City, UT",1950,2011,21,23,2034,2334,4,2308,2338,30,0,,0,N,318,327,300,1,1969,16,0,9,0,5,,,,
2019-06-01,UA,UA,UA,2418,UA,N518UA,2418,12892,LAX,"Los Angeles, CA",11618,EWR,"Newark, NJ",815,814,-1,14,828,1614,9,1644,1623,-21,0,,0,N,329,309,286,1,2454,,,,,,,,,
2019-06-01,UA,UA,UA,2417,UA,N473UA,2417,14057,PDX,"Portland, OR",11618,EWR,"Newark, NJ",2300,2252,-8,12,2304,650,7,709,657,-12,0,,0,N,309,305,286,1,2434,,,,,,,,,
2019-06-01,UA,UA,UA,2414,UA,N817UA,2414,10693,BNA,"Nashville, TN",12264,IAD,"Washington, DC",845,837,-8,23,900,1123,11,1127,1134,7,0,,0,N,102,117,83,1,542,,,,,,,,,
2019-06-01,UA,UA,UA,2413,UA,N33289,2413,11603,EUG,"Eugene, OR",11292,DEN,"Denver, CO",640,632,-8,9,641,947,7,1011,954,-17,0,,0,N,151,142,126,1,996,,,,,,,,,
2019-06-01,UA,UA,UA,2411,UA,N840UA,2411,11618,EWR,"Newark, NJ",14893,SMF,"Sacramento, CA",1900,1857,-3,13,1910,2133,6,2222,2139,-43,0,,0,N,382,342,323,1,2500,,,,,,,,,
2019-06-01,UA,UA,UA,2410,UA,N419UA,2410,12892,LAX,"Los Angeles, CA",13204,MCO,"Orlando, FL",2255,2248,-7,17,2305,608,8,638,616,-22,0,,0,N,283,268,243,1,2218,,,,,,,,,
2019-06-01,UA,UA,UA,2409,UA,N24706,2409,14100,PHL,"Philadelphia, PA",13930,ORD,"Chicago, IL",800,753,-7,11,804,845,10,919,855,-24,0,,0,N,139,122,101,1,678,,,,,,,,,
2019-06-01,UA,UA,UA,2408,UA,N841UA,2408,11292,DEN,"Denver, CO",11298,DFW,"Dallas/Fort Worth, TX",750,746,-4,11,757,1020,5,1052,1025,-27,0,,0,N,122,99,83,1,641,,,,,,,,,
2019-06-01,UA,UA,UA,2405,UA,N427UA,2405,14771,SFO,"San Francisco, CA",12266,IAH,"Houston, TX",515,509,-6,17,526,1047,9,1100,1056,-4,0,,0,N,225,227,201,1,1635,,,,,,,,,
2019-06-01,UA,UA,UA,2404,UA,N433UA,2404,14635,RSW,"Fort Myers, FL",13930,ORD,"Chicago, IL",1230,1221,-9,12,1233,1421,16,1436,1437,1,0,,0,N,186,196,168,1,1120,,,,,,,,,
2019-06-01,UA,UA,UA,2403,UA,N77530,2403,13204,MCO,"Orlando, FL",12266,IAH,"Houston, TX",1358,1353,-5,12,1405,1505,5,1531,1510,-21,0,,0,N,153,137,120,1,854,,,,,,,,,
2019-06-01,UA,UA,UA,2401,UA,N76515,2401,14908,SNA,"Santa Ana, CA",11292,DEN,"Denver, CO",645,636,-9,25,701,944,10,958,954,-4,0,,0,N,133,138,103,1,846,,,,,,,,,
2019-06-01,UA,UA,UA,2400,UA,N596UA,2400,10721,BOS,"Boston, MA",14771,SFO,"San Francisco, CA",1825,2037,132,9,2046,2345,6,2200,2351,111,0,,0,N,395,374,359,1,2704,14,0,0,0,97,,,,
2019-06-01,UA,UA,UA,2399,UA,N81449,2399,13204,MCO,"Orlando, FL",12266,IAH,"Houston, TX",908,909,1,14,923,1021,5,1040,1026,-14,0,,0,N,152,137,118,1,854,,,,,,,,,
2019-06-01,UA,UA,UA,2398,UA,N37462,2398,14747,SEA,"Seattle, WA",14771,SFO,"San Francisco, CA",1559,1552,-7,20,1612,1748,5,1808,1753,-15,0,,0,N,129,121,96,1,679,,,,,,,,,
2019-06-01,UA,UA,UA,2397,UA,N894UA,2397,11292,DEN,"Denver, CO",12953,LGA,"New York, NY",1625,1637,12,14,1651,2218,5,2208,2223,15,0,,0,N,223,226,207,1,1620,0,0,15,0,0,,,,
2019-06-01,UA,UA,UA,2395,UA,N56859,2395,13930,ORD,"Chicago, IL",12889,LAS,"Las Vegas, NV",801,757,-4,16,813,931,6,955,937,-18,0,,0,N,234,220,198,1,1514,,,,,,,,,
2019-06-01,UA,UA,UA,2394,UA,N37456,2394,10721,BOS,"Boston, MA",11618,EWR,"Newark, NJ",1100,1058,-2,15,1113,1206,7,1220,1213,-7,0,,0,N,80,75,53,1,200,,,,,,,,,
2019-06-01,UA,UA,UA,2392,UA,N33266,2392,14683,SAT,"San Antonio, TX",12266,IAH,"Houston, TX",720,715,-5,13,728,810,4,828,814,-14,0,,0,N,68,59,42,1,191,,,,,,,,,
2019-06-01,UA,UA,UA,2391,UA,N38727,2391,13230,MDT,"Harrisburg, PA",13930,ORD,"Chicago, IL",700,659,-1,12,711,738,9,806,747,-19,0,,0,N,126,108,87,1,594,,,,,,,,,
2019-06-01,UA,UA,UA,2390,UA,N39415,2390,13204,MCO,"Orlando, FL",12264,IAD,"Washington, DC",900,859,-1,11,910,1052,3,1106,1055,-11,0,,0,N,126,116,102,1,758,,,,,,,,,
2019-06-01,UA,UA,UA,2389,UA,N404UA,2389,13204,MCO,"Orlando, FL",12264,IAD,"Washington, DC",1550,1549,-1,17,1606,1751,6,1807,1757,-10,0,,0,N,137,128,105,1,758,,,,,,,,,
2019-06-01,UA,UA,UA,2388,UA,N38459,2388,12264,IAD,"Washington, DC",14747,SEA,"Seattle, WA",1230,1227,-3,13,1240,1437,10,1514,1447,-27,0,,0,N,344,320,297,1,2306,,,,,,,,,
