fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-11-01,WN,WN,WN,2445,WN,N761RR,2445,14679,SAN,"San Diego, CA",14107,PHX,"Phoenix, AZ",1905,,,,,,,2020,,,1,A,0,N,75,,,1,304,,,,,,,,,
2019-11-01,B6,B6,B6,1694,B6,N353JB,1694,13204,MCO,"Orlando, FL",12197,HPN,"White Plains, NY",1700,2048,228,18,2106,,,1934,,,0,,1,N,154,,,1,972,,,,,,,,,
2019-11-01,UA,UA,UA,1871,UA,N18112,1871,11618,EWR,"Newark, NJ",12892,LAX,"Los Angeles, CA",1900,1935,35,54,2029,2255,10,2225,2305,40,0,,0,N,385,390,326,1,2454,9,0,5,0,26,,,,
2019-11-01,UA,UA,UA,2384,UA,N16217,2384,14771,SFO,"San Francisco, CA",14679,SAN,"San Diego, CA",1035,1035,0,18,1053,1206,2,1216,1208,-8,0,,0,N,101,93,73,1,447,,,,,,,,,
2019-11-01,UA,UA,UA,2380,UA,N64844,2380,14771,SFO,"San Francisco, CA",12173,HNL,"Honolulu, HI",1048,1055,7,24,1119,1315,14,1330,1329,-1,0,,0,N,342,334,296,1,2398,,,,,,,,,
2019-11-01,UA,UA,UA,2379,UA,N61886,2379,13204,MCO,"Orlando, FL",12264,IAD,"Washington, DC",1415,1404,-11,14,1418,1556,5,1620,1601,-19,0,,0,N,125,117,98,1,758,,,,,,,,,
2019-11-01,UA,UA,UA,2378,UA,N38479,2378,13204,MCO,"Orlando, FL",11618,EWR,"Newark, NJ",1715,1745,30,17,1802,1956,10,1958,2006,8,0,,0,N,163,141,114,1,937,,,,,,,,,
2019-11-01,UA,UA,UA,2377,UA,N412UA,2377,11292,DEN,"Denver, CO",10423,AUS,"Austin, TX",1345,1339,-6,12,1351,1626,5,1650,1631,-19,0,,0,N,125,112,95,1,775,,,,,,,,,
2019-11-01,UA,UA,UA,2377,UA,N780UA,2377,12266,IAH,"Houston, TX",11292,DEN,"Denver, CO",1020,1020,0,21,1041,1142,9,1146,1151,5,0,,0,N,146,151,121,1,862,,,,,,,,,
2019-11-01,UA,UA,UA,2377,UA,N69829,2377,14771,SFO,"San Francisco, CA",12266,IAH,"Houston, TX",55,45,-10,15,100,604,5,633,609,-24,0,,0,N,218,204,184,1,1635,,,,,,,,,
2019-11-01,UA,UA,UA,2376,UA,N821UA,2376,14683,SAT,"San Antonio, TX",13930,ORD,"Chicago, IL",1409,1417,8,15,1432,1643,13,1655,1656,1,0,,0,N,166,159,131,1,1041,,,,,,,,,
2019-11-01,UA,UA,UA,2374,UA,N57111,2374,13204,MCO,"Orlando, FL",11618,EWR,"Newark, NJ",1030,1026,-4,16,1042,1242,5,1304,1247,-17,0,,0,N,154,141,120,1,937,,,,,,,,,
2019-11-01,UA,UA,UA,2373,UA,N69826,2373,12892,LAX,"Los Angeles, CA",12758,KOA,"Kona, HI",845,838,-7,25,903,1120,2,1145,1122,-23,0,,0,N,360,344,317,1,2504,,,,,,,,,
2019-11-01,UA,UA,UA,2371,UA,N474UA,2371,13495,MSY,"New Orleans, LA",12264,IAD,"Washington, DC",1805,1757,-8,9,1806,2058,5,2120,2103,-17,0,,0,N,135,126,112,1,955,,,,,,,,,
2019-11-01,UA,UA,UA,2370,UA,N482UA,2370,13204,MCO,"Orlando, FL",11292,DEN,"Denver, CO",1608,1558,-10,11,1609,1750,5,1810,1755,-15,0,,0,N,242,237,221,1,1546,,,,,,,,,
