fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-10-01,AA,AA_CODESHARE,AA,5121,OH,N598NN,5121,10868,CAE,"Columbia, SC",11057,CLT,"Charlotte, NC",641,637,-4,12,649,713,6,746,719,-27,0,,0,N,65,42,24,1,88,,,,,,,,,
2019-10-03,AA,AA_CODESHARE,AA,4995,PT,N620AE,4995,14100,PHL,"Philadelphia, PA",12397,ITH,"Ithaca/Cortland, NY",2130,,,,,,,2244,,,1,B,0,N,74,,,1,192,,,,,,,,,
2019-10-01,AA,AA_CODESHARE,AA,5126,OH,N568NN,5126,14576,ROC,"Rochester, NY",11057,CLT,"Charlotte, NC",1137,1130,-7,10,1140,1306,15,1343,1321,-22,0,,0,N,126,111,86,1,573,,,,,,,,,
2019-10-01,AA,AA_CODESHARE,AA,5127,OH,N534AE,5127,11057,CLT,"Charlotte, NC",11973,GPT,"Gulfport/Biloxi, MS",930,926,-4,28,954,1011,8,1027,1019,-8,0,,0,N,117,113,77,1,577,,,,,,,,,
2019-10-01,AA,AA_CODESHARE,AA,5127,OH,N534AE,5127,11973,GPT,"Gulfport/Biloxi, MS",11057,CLT,"Charlotte, NC",1102,1058,-4,9,1107,1338,16,1358,1354,-4,0,,0,N,116,116,91,1,577,,,,,,,,,
2019-10-01,AA,AA_CODESHARE,AA,5128,OH,N226JS,5128,11278,DCA,"Washington, DC",12197,HPN,"White Plains, NY",1705,1700,-5,16,1716,1808,4,1829,1812,-17,0,,0,N,84,72,52,1,234,,,,,,,,,
2019-10-01,AA,AA_CODESHARE,AA,5129,OH,N261PS,5129,11278,DCA,"Washington, DC",15624,VPS,"Valparaiso, FL",850,844,-6,32,916,1000,8,1017,1008,-9,0,,0,N,147,144,104,1,789,,,,,,,,,
2019-10-01,AA,AA_CODESHARE,AA,5129,OH,N261PS,5129,15624,VPS,"Valparaiso, FL",11278,DCA,"Washington, DC",1050,1045,-5,11,1056,1409,4,1410,1413,3,0,,0,N,140,148,133,1,789,,,,,,,,,
2019-10-01,AA,AA_CODESHARE,AA,5130,OH,N529EA,5130,12945,LEX,"Lexington, KY",11057,CLT,"Charlotte, NC",503,457,-6,11,508,605,16,635,621,-14,0,,0,N,92,84,57,1,281,,,,,,,,,
2019-10-01,AA,AA_CODESHARE,AA,5132,OH,N720PS,5132,11278,DCA,"Washington, DC",14685,SAV,"Savannah, GA",1155,1142,-13,16,1158,1314,11,1344,1325,-19,0,,0,N,109,103,76,1,519,,,,,,,,,
